make	model	year	vin
Mercedes-Benz	S-Class	1986	JN1BJ0HP2EM742216
Subaru	Justy	1990	KM8JT3AB2CU942198
BMW	X5	2004	WVGAV7AX1BW198254
Lexus	LS	1993	WAUNF78P97A339372
Lincoln	Town Car	1997	2C4RDGBGXER180177
Jeep	Grand Cherokee	1999	JN1AZ4EH4FM020028
Buick	Skylark	1991	1D7CE5GK5AS837518
Dodge	Ram Van 2500	1995	1FTEW1CM3BK740168
Buick	Century	1987	2HNYD18625H455550
Acura	Legend	1989	2T1BPRHE8EC858192
Audi	A6	1997	WAUAH94F88N299278
Porsche	911	1996	1FT7W2A65EE474187
Toyota	Tacoma Xtra	1997	1N6AD0CU4EN603600
BMW	X5	2008	WAUJGBFC4DN203556
Lexus	GX	2010	WUADU98E58N922100
Mitsubishi	Mighty Max	1996	WUADNAFG4BN792711
Mercedes-Benz	SL-Class	2004	1B3BD4FB6BN565714
Oldsmobile	Silhouette	1993	5N1AR1NB2BC259449
Lincoln	MKX	2009	WA1DGAFP6FA795396
Mercedes-Benz	E-Class	1999	WBAUC9C59BV136649
Hyundai	Entourage	2008	1GYS3SKJ7FR311229
Mercedes-Benz	300SE	1992	WBALY1C59ED760041
Ford	Freestyle	2007	WAUKF98E36A049141
Chevrolet	Lumina APV	1993	WBAGL635X4D437127
Dodge	Ram Van 3500	1998	1G6DR57V380527034
Saab	9-3	2003	YV4940BZ0D1077259
Toyota	Sienna	2000	WBA5A7C50FG137424
Volkswagen	Golf	2001	JN8AZ1MU8CW443418
Honda	CR-V	2010	WBAGG83401D315735
Saturn	VUE	2006	1FBAX2CM5FK123544
Mercedes-Benz	GL-Class	2012	1GKUCKE05AR264510
Toyota	Yaris	2012	5N1CR2MN0EC733655
Mercedes-Benz	SL-Class	1999	5BZBF0AA1EN691175
GMC	Yukon XL 2500	2003	3D73M4ELXAG286440
Mazda	MX-5	2011	3GYFNAE32CS643462
Cadillac	Seville	1997	1G4GA5ECXAF859053
Audi	V8	1994	JN1AZ4EH7FM627962
Studebaker	Avanti	1962	1GD312CG5DF955034
Chevrolet	Avalanche	2012	SAJWA4DC1FM623147
Audi	Q7	2011	WDDHF0EB4EB696942
Ford	Escort ZX2	2003	JN8AF5MR1BT415150
Morgan	Aero 8	2007	WBA3C3G57FN486516
Lexus	LS	2000	WBABS33401J885568
Ford	Econoline E150	1997	JTDZN3EU2E3005034
Suzuki	XL-7	2002	3D73M4CL8AG389777
Chevrolet	Suburban	2010	TRURD38J181895018
Oldsmobile	Intrigue	2001	SCFAD22343K064726
Scion	xB	2006	4T3BA3BB7CU135336
Ford	Fusion	2011	WAULC68E24A780099
Mazda	MX-5	1995	1G6DT57V780094335
Dodge	Ram 1500	2009	5GAER23D39J011668
GMC	Sierra 3500	2011	1G6DG8EY4B0182432
Dodge	Dakota	2002	WAUWG74FX9N463421
Ford	Explorer Sport Trac	2003	KNAFK4A64F5915800
BMW	8 Series	1993	19VDE1F52FE014518
Mercedes-Benz	E-Class	1997	2FMHK6CT3AB460235
Subaru	Outback	2010	5J8TB4H57GL385324
Mercedes-Benz	CLK-Class	2008	1GKKRNED3BJ031929
Acura	TSX	2010	WUARL48H95K352251
Ford	Expedition	2001	3GYFK66N06G940985
Mercedes-Benz	M-Class	2011	1FAHP2DWXAG143335
Acura	TSX	2009	1D7RB1CT9AS340319
Chevrolet	Suburban 2500	1992	WBSWL93589P508923
Ford	Fusion	2012	1N6AA0CC3FN442920
Mercury	Monterey	2004	SALAG2D48DA355371
Volvo	S80	2008	3C3CFFHH3DT758341
Chevrolet	Lumina	2000	1GD022CGXCZ709075
Mercury	Tracer	1991	JHMZF1C64CS664885
Jeep	Wrangler	2011	JTHBL5EF2C5151096
Lincoln	Mark LT	2008	KMHTC6AD0CU737605
Volvo	V40	2000	1ZVBP8JS3A5573530
Isuzu	Rodeo Sport	2001	1N6AD0CW7EN972162
Nissan	Maxima	2001	5GADV23137D775741
Lexus	RX	2005	2G4GK5EX2E9293761
Mercury	Milan	2009	2HNYD28508H488144
Volkswagen	GTI	1988	3VWKP7AJ6EM557517
Mazda	Mazda6	2004	KMHHT6KD8BU233418
Kia	Sportage	2011	WA1AV94LX7D215994
Jeep	Wrangler	1999	JTHBE5C21D5273900
Plymouth	Grand Voyager	1995	WA1WGAFP2DA025850
Pontiac	Grand Am	1985	WVGAV7AX2CW708757
Panoz	Esperante	2008	3D73Y4EL2AG593685
Acura	TSX	2004	1FMJK1JT8FE767483
Dodge	D250 Club	1993	WA1VMAFP1FA526008
Mitsubishi	Galant	2006	1FMCU9D74AK297219
Buick	LeSabre	1990	2G4WE587961302681
Infiniti	G	2001	JM1CW2BL4F0646651
Dodge	Charger	1970	WBAEW53475P758543
Dodge	Dakota Club	2001	SALFR2BG6DH281680
Chevrolet	Camaro	2010	KNADM4A35D6344512
Jeep	Cherokee	1995	5XYKT3A67FG750891
Ford	Club Wagon	1998	WBAYE8C58FD013863
BMW	550	2006	WAUGGAFR5EA110577
Subaru	Outback	2005	WBABD33446J930836
Saab	9-7X	2007	5FRYD4H6XFB788513
Volkswagen	GLI	2008	WBANA73525C510419
Chevrolet	Cavalier	1994	2C3CDXBG8DH249236
Lincoln	Navigator L	2010	WBAEV33415K083311
Chrysler	300M	2004	WBAWC33598P630013
GMC	Rally Wagon 1500	1993	1FTEX1E81AF844517
Pontiac	GTO	2004	4A31K5DFXCE735275
GMC	Savana 3500	2005	SCFAB42332K425914
Pontiac	Daewoo Kalos	2006	3HGGK5G59FM895647
Honda	CR-V	2009	JM1BL1K57B1087438
BMW	760	2005	1J4RR4GG0BC418299
Ford	Econoline E150	1998	1FTEW1CM1CF796751
Mazda	RX-7	1989	1G6DG8EY6B0350409
Volkswagen	Jetta	1992	JH4CL95857C141046
Mercedes-Benz	CL-Class	2004	3D73M4HL7BG653145
Toyota	Tercel	1993	WAUXU64BX3N794589
Dodge	Ram	2011	JN1AZ4EH7FM766621
Mitsubishi	Pajero	1987	1G6AW5SXXE0944571
Toyota	Yaris	2010	1N6AA0CJ2DN061295
Chevrolet	Camaro	1968	WAUDF98E18A693314
Nissan	Quest	2001	1D4PT4GX3BW366571
Bentley	Continental Flying Spur	2006	WBA3G7C5XFK430850
Mercedes-Benz	S-Class	2011	1D7RW2GK1BS220835
Mercedes-Benz	CLK-Class	2009	SCBBR9ZA6BC760226
GMC	Sonoma Club	1992	WAUBFAFL9DN784019
Mazda	CX-7	2007	WAUDV94F57N041854
Pontiac	Grand Am	1989	KNDJT2A5XD7399529
Suzuki	X-90	1998	WAU3GBFC7DN840966
Mercury	Mountaineer	2000	WAUMFAFL5AN459971
Chrysler	Town & Country	1996	1GYS4EEJ3DR377025
Honda	Odyssey	2004	WAUBVAFB8AN493727
Ford	EXP	1988	2C4RDGDG9FR526458
Mercedes-Benz	SLK-Class	2007	5TDDK3DC9FS089588
Volkswagen	Passat	2002	1G4GG5G33CF184595
Mercury	Sable	2008	JA4AP3AU2CZ585922
Subaru	Outback	2005	WAUR4AFD4DN752608
Chevrolet	Corvette	1992	WBSBL934X1J594510
Volvo	850	1995	1GD312CG7BF949846
Bentley	Continental Super	2011	3GYFNHE34DS534043
Audi	Q5	2011	3D73Y3CL8AG278046
Dodge	Ram	2008	3G5DB03E54S102323
Suzuki	SJ	1986	WAU4FAFR9AA736195
Subaru	Baja	2003	19UUA75657A707847
Mercury	Mariner	2005	3GYFNCE39CS725037
Lincoln	MKZ	2010	JH4KB16608C163793
Ford	F350	2012	1N6AF0LX6EN137611
Ford	Escape	2007	2G4WF551021844906
GMC	Envoy XL	2004	1N6BF0KM2FN691015
Dodge	Durango	2000	KMHDB8AE5CU972397
Oldsmobile	Bravada	1993	1VWAP7A33EC711793
Ford	F150	1997	JTEBW3EH4A2285746
Dodge	Ram Van B250	1994	WBSWL93528P975401
Toyota	Tundra	2002	3G5DB03E05S673137
Lamborghini	Countach	1988	JTMHY7AJ1B5630207
Ford	F350	1995	WBAFR9C5XCC013592
Audi	80/90	1988	2GKALMEK4E6424961
Saab	900	1996	ZFBCFACH5FZ823825
Porsche	Carrera GT	2004	JTDJTUD34ED394528
Ford	Crown Victoria	2008	1G4PS5SKXE4907158
Audi	Cabriolet	1994	1G6AA5RX4E0875378
Mazda	B-Series	2006	5GAKVBKD7FJ917754
Cadillac	Eldorado	1999	WBA3B3C58DJ609608
GMC	Yukon XL 2500	2004	WA1LMBFE3CD272579
Volkswagen	Passat	2010	1FTSW3B58AE810303
Lexus	SC	2005	WAU32AFD8FN874452
Honda	CR-X	1984	1FT7W2A66EE489233
Volvo	V40	2001	JH4CU2F40CC991256
Hyundai	Equus	2012	2G4WN58C881023996
Toyota	Sienna	2003	WAUPEAFMXCA676354
Honda	Element	2003	WAUGL78E25A556551
Infiniti	Q	1992	SCFEBBAK0CG532695
Acura	TSX	2004	3N1AB6AP0CL919164
Isuzu	Rodeo	2000	1N6BF0KX4FN278653
Chrysler	Cirrus	1999	WDDPK4HA9FF568840
Chevrolet	Aveo	2010	WA1LFBFP6BA930357
Plymouth	Breeze	1996	JTDBT4K38B1306469
Volkswagen	Cabriolet	1991	19UYA41603A934606
Lincoln	Continental	1988	WAUXL68E74A407027
Dodge	Ram Van B250	1993	WBAVB33596A598436
Chevrolet	Express 2500	2011	WBAYA8C50FD865698
